id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
75094,Amazing apartment in Recoleta,161327,Mariano,,Recoleta,-34.58875,-58.39603,Entire home/apt,2701,25,113,2019-11-06,1.04,13,144
75492,Studio Loft in Palermo Soho #1,400828,Jony,,Palermo,-34.58817,-58.42003,Entire home/apt,2881,2,310,2020-01-17,3.16,3,315
75526,GUAPO / Amazing Large Studio* with great views.,319901,Ralf,,Palermo,-34.58256,-58.42523,Entire home/apt,4202,2,98,2020-01-12,0.94,33,335
76005,"Heart of Recoleta, no better place!",315089,Max,,Recoleta,-34.5891,-58.39269,Entire home/apt,2401,5,6,2013-08-17,0.06,7,365
76385,Studio In Downtown Buenos Aires,407702,Ruy,,Monserrat,-34.61365,-58.3849,Entire home/apt,2701,2,324,2020-01-06,3.00,7,358
77024,RECOLETA Juncal 1360 2C,411077,Luz,,Retiro,-34.5916,-58.38571,Entire home/apt,1561,3,22,2019-12-19,0.20,9,329
77404,Beautiful Duplex - Trendy Palermo,161327,Mariano,,Palermo,-34.56765,-58.43216,Entire home/apt,3061,20,19,2019-11-25,0.20,13,179
77704,PALERMO SOHO Cheap Little Apt,417020,Jorge Fernando,,Palermo,-34.58107,-58.42602,Entire home/apt,2581,7,118,2019-12-17,1.14,1,300
77776,"BUENOS AIRES, RECOLETA, 2 BEDROOM APT",417598,Rd,,Recoleta,-34.59002,-58.40479,Entire home/apt,4502,2,0,,,1,363
77860,Private room with balcony with view,402373,Daniel,,Palermo,-34.57269,-58.43395,Private room,3601,2,0,,,1,365
77942,Great room in Alto Palermo area,418692,Juliana,,San Cristobal,-34.62364,-58.39976,Private room,3001,1,1,2012-01-31,0.01,1,0
77994,Studio 1A - Corazon de San Telmo,64880,Elbio Mariano,,San Telmo,-34.62128,-58.37332,Entire home/apt,3601,2,5,2019-08-03,0.05,12,350
78005,"SOFA STUDIO, SAN TELMO, 1B",64880,Elbio Mariano,,San Telmo,-34.61952,-58.37123,Entire home/apt,3001,2,15,2019-08-22,0.15,12,361
78009,STUDIO DEFENSA 2A en San Telmo,64880,Elbio Mariano,,San Telmo,-34.61914,-58.37239,Entire home/apt,4202,2,42,2019-11-18,0.39,12,365
78014,STUDIO SOFA CAMA & PATIO,64880,Elbio Mariano,,San Telmo,-34.62025,-58.37252,Entire home/apt,2401,2,24,2019-05-13,0.23,12,358
78068,Lovely Place at a GREAT Location!,419383,Mariana Y Sebas,,Palermo,-34.58288,-58.40535,Entire home/apt,2101,3,19,2019-11-19,0.18,7,365
78351,"Apt in Palermo, Las Cañitas",420786,Carola,,Palermo,-34.57521,-58.42883,Entire home/apt,2881,5,11,2020-01-19,0.13,4,365
78685,Luminous Palermo 1BDR Apartment,419383,Mariana Y Sebas,,Palermo,-34.58332,-58.40643,Entire home/apt,2701,2,36,2019-05-12,0.34,7,354
78703,Amazing Studio with Terrace & BBQ,422878,Oscar,,Recoleta,-34.59477,-58.39501,Entire home/apt,2881,1,189,2019-11-25,1.92,2,316
79226,Petite Home,426420,Carolina,,Nuñez,-34.5522,-58.45802,Entire home/apt,2341,6,39,2020-01-14,0.39,1,221
79247,"Beautiful Apt in great location, 100% Good Reviews",426566,Egle,,Almagro,-34.61964,-58.41766,Entire home/apt,1380,5,43,2019-12-23,0.40,8,329
79766,Cozy 1Bdr Great Terrace! sun/view!!,422878,Oscar,,Recoleta,-34.59034,-58.39767,Entire home/apt,3901,1,176,2020-01-07,1.87,2,315
82623,GARDEN STUDIO FLAT w/swimming pool,449610,Antonio,,Colegiales,-34.57361,-58.45238,Entire home/apt,1681,5,41,2019-09-30,0.80,1,320
83035,"Central loc. Entire apt, all incl.",426566,Egle,,Boedo,-34.62107,-58.41608,Entire home/apt,1921,5,43,2019-08-31,0.40,8,145
83152,★ Budda Lounge - Dream View Studio ★,319901,Ralf,,Palermo,-34.58064,-58.42367,Entire home/apt,4802,2,89,2020-01-09,0.85,33,302
83440,GREAT! Apartment Alto Palermo,384997,Santiago,,Palermo,-34.59222,-58.41285,Entire home/apt,6002,30,4,2019-01-16,0.04,1,365
84033,Great apart with private terrace & chill out area.,458852,Maria,,Palermo,-34.586,-58.42534,Entire home/apt,3601,2,139,2020-01-06,1.31,2,298
84730,"Spotless apt. in a great location, Wi-Fi, balcony!",426566,Egle,,Almagro,-34.62099,-58.41753,Entire home/apt,1320,5,64,2020-01-04,0.65,8,352
